driving_model,scenario,is_test,file_glob,source,members_used
CanESM5-1,ssp370,False,data_DAT_CanESM5-1_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-CanOE,ssp370,False,data_DAT_CanESM5-CanOE_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2,ssp370,False,data_DAT_CESM2_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2-WACCM,ssp370,False,data_DAT_CESM2-WACCM_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3,ssp370,False,data_DAT_EC-Earth3_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-CC,ssp370,False,data_DAT_EC-Earth3-CC_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg,ssp370,False,data_DAT_EC-Earth3-Veg_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg-LR,ssp370,False,data_DAT_EC-Earth3-Veg-LR_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
FGOALS-g3,ssp370,False,data_DAT_FGOALS-g3_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-CM4,ssp370,False,data_DAT_GFDL-CM4_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
